id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q10640,Football Manager,association football management video game,Sega,,Worldwide Soccer Manager,Football Manager,https://en.wikipedia.org/wiki/Football_Manager
http://www.wikidata.org/entity/Q12393,The Legend of Zelda,action-adventure game,Nintendo,,"Legend of Zelda, The Legend of Zelda series, TLOZ, Zelda, TLoZ",The Legend of Zelda,https://en.wikipedia.org/wiki/The_Legend_of_Zelda
http://www.wikidata.org/entity/Q12397,Metroid,action-adventure game,Nintendo,,,Metroid,https://en.wikipedia.org/wiki/Metroid
http://www.wikidata.org/entity/Q19308,Hitman,action-adventure game,Warner Bros. Interactive Entertainment,,,Hitman (franchise),https://en.wikipedia.org/wiki/Hitman_(franchise)
http://www.wikidata.org/entity/Q19308,Hitman,stealth game,Warner Bros. Interactive Entertainment,,,Hitman (franchise),https://en.wikipedia.org/wiki/Hitman_(franchise)
http://www.wikidata.org/entity/Q23899,Dizzy,adventure game,Codemasters,,,Dizzy (series),https://en.wikipedia.org/wiki/Dizzy_(series)
http://www.wikidata.org/entity/Q23899,Dizzy,platform game,Codemasters,,,Dizzy (series),https://en.wikipedia.org/wiki/Dizzy_(series)
http://www.wikidata.org/entity/Q23899,Dizzy,puzzle/jigsaw video game,Codemasters,,,Dizzy (series),https://en.wikipedia.org/wiki/Dizzy_(series)
http://www.wikidata.org/entity/Q31953,LittleBigPlanet,puzzle video game,,,LBP,LittleBigPlanet,https://en.wikipedia.org/wiki/LittleBigPlanet
http://www.wikidata.org/entity/Q34811,Age of Empires,real-time strategy,,,,Age of Empires,https://en.wikipedia.org/wiki/Age_of_Empires
http://www.wikidata.org/entity/Q1804779,Farming Simulator,open world,Focus Home Interactive,,"Farming Simulator 14, Farming Simulator2018, Farming Simulator18",Farming Simulator,https://en.wikipedia.org/wiki/Farming_Simulator
http://www.wikidata.org/entity/Q1804779,Farming Simulator,simulation video game,Focus Home Interactive,,"Farming Simulator 14, Farming Simulator2018, Farming Simulator18",Farming Simulator,https://en.wikipedia.org/wiki/Farming_Simulator
http://www.wikidata.org/entity/Q1828897,Wars,turn-based strategy video game,,,"Famicom Wars, Advance Wars, Nintendo Wars",Wars (series),https://en.wikipedia.org/wiki/Wars_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,4X,2K Games,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,turn-based strategy video game,2K Games,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,4X,Atari,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,turn-based strategy video game,Atari,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,4X,MicroProse,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,turn-based strategy video game,MicroProse,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,4X,Aspyr,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,turn-based strategy video game,Aspyr,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,4X,Koei,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,turn-based strategy video game,Koei,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,4X,Infogrames,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868663,Civilization,turn-based strategy video game,Infogrames,,"CIV, Sid Meier's Civilization",Civilization (series),https://en.wikipedia.org/wiki/Civilization_(series)
http://www.wikidata.org/entity/Q1868782,Colin McRae Rally,racing video game,Codemasters,,,Colin McRae Rally,https://en.wikipedia.org/wiki/Colin_McRae_Rally
http://www.wikidata.org/entity/Q1883234,Madden NFL,sports video game,EA Sports,,John Madden Football,Madden NFL,https://en.wikipedia.org/wiki/Madden_NFL
http://www.wikidata.org/entity/Q1886116,SaGa,role-playing video game,,,Final Fantasy Legend,SaGa,https://en.wikipedia.org/wiki/SaGa
http://www.wikidata.org/entity/Q615908,Dragon Quest,role-playing video game,Square Enix,,,Dragon Quest,https://en.wikipedia.org/wiki/Dragon_Quest
http://www.wikidata.org/entity/Q615908,Dragon Quest,Eastern role-playing game,Square Enix,,,Dragon Quest,https://en.wikipedia.org/wiki/Dragon_Quest
http://www.wikidata.org/entity/Q615908,Dragon Quest,fantasy anime and manga,Square Enix,,,Dragon Quest,https://en.wikipedia.org/wiki/Dragon_Quest
http://www.wikidata.org/entity/Q615908,Dragon Quest,role-playing video game,Enix,,,Dragon Quest,https://en.wikipedia.org/wiki/Dragon_Quest
http://www.wikidata.org/entity/Q615908,Dragon Quest,Eastern role-playing game,Enix,,,Dragon Quest,https://en.wikipedia.org/wiki/Dragon_Quest
http://www.wikidata.org/entity/Q615908,Dragon Quest,fantasy anime and manga,Enix,,,Dragon Quest,https://en.wikipedia.org/wiki/Dragon_Quest
http://www.wikidata.org/entity/Q621635,Army Men,,2K Play,,,Army Men,https://en.wikipedia.org/wiki/Army_Men
