id,idLabel,genreLabel,publisherLabel,esrbLabel,idAltLabel,name,article
http://www.wikidata.org/entity/Q2377,Civilization IV,,,,"Civ4, Civilization 4, Sid Meier's Civilization IV",Civilization IV,https://en.wikipedia.org/wiki/Civilization_IV
http://www.wikidata.org/entity/Q2374,Civilization III,,,,"Civilization 3, Sid Meier's Civilization III",Civilization III,https://en.wikipedia.org/wiki/Civilization_III
http://www.wikidata.org/entity/Q2385,Civilization V,,,,"Civ 5, Civ V, Civilization 5, Sid Meier's Civilization V",Civilization V,https://en.wikipedia.org/wiki/Civilization_V
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,,,,Lego Star Wars: TCS,Lego Star Wars: The Complete Saga,https://en.wikipedia.org/wiki/Lego_Star_Wars:_The_Complete_Saga
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,,,,,Lego Star Wars: The Video Game,https://en.wikipedia.org/wiki/Lego_Star_Wars:_The_Video_Game
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron,,,,,Star Wars Battlefront: Elite Squadron,https://en.wikipedia.org/wiki/Star_Wars_Battlefront:_Elite_Squadron
http://www.wikidata.org/entity/Q55246,Lego Star Wars II: The Original Trilogy,,,,,Lego Star Wars II Mobile,https://en.wikipedia.org/wiki/Lego_Star_Wars_II_Mobile
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II,,,,"Star Wars Battlefront 2, Star Wars Battlefront II, Star Wars: Battlefront 2",Star Wars: Battlefront II (2005 video game),https://en.wikipedia.org/wiki/Star_Wars:_Battlefront_II_(2005_video_game)
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,,,,,Star Wars Battlefront: Renegade Squadron,https://en.wikipedia.org/wiki/Star_Wars_Battlefront:_Renegade_Squadron
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy,,,,Lego Star Wars 2: The Original Trilogy,Lego Star Wars II: The Original Trilogy,https://en.wikipedia.org/wiki/Lego_Star_Wars_II:_The_Original_Trilogy
http://www.wikidata.org/entity/Q55228,Lego Star Wars III: The Clone Wars,,,,,Lego Star Wars III: The Clone Wars,https://en.wikipedia.org/wiki/Lego_Star_Wars_III:_The_Clone_Wars
http://www.wikidata.org/entity/Q55259,Star Wars: Rebel Assault,,,,,Star Wars: Rebel Assault,https://en.wikipedia.org/wiki/Star_Wars:_Rebel_Assault
http://www.wikidata.org/entity/Q55313,Star Wars: X-Wing Alliance,,,,,Star Wars: X-Wing Alliance,https://en.wikipedia.org/wiki/Star_Wars:_X-Wing_Alliance
http://www.wikidata.org/entity/Q55538,007: Licence to Kill,,,,,007: Licence to Kill,https://en.wikipedia.org/wiki/007:_Licence_to_Kill
